region,position_mm,aoa_deg,frequency_hz,phi_uu
Trailing edge,55,0,0,0.000131978189657481
Trailing edge,55,0,3.12500014648467,0.000273084329037102
Trailing edge,55,0,6.25000029296934,0.000248352065772191
Trailing edge,55,0,9.375000439454,0.000334407830309941
Trailing edge,55,0,12.5000005859387,0.000310699996552578
Trailing edge,55,0,15.6250007324233,0.000259783919645209
Trailing edge,55,0,18.750000878908,0.000215707344535689
Trailing edge,55,0,21.8750010253927,0.000201755059448398
Trailing edge,55,0,25.0000011718773,0.000315922910678173
Trailing edge,55,0,28.125001318362,0.000321045236735843
Trailing edge,55,0,31.2500014648467,0.000276641804181473
Trailing edge,55,0,34.3750016113313,0.000197143328810233
Trailing edge,55,0,37.500001757816,0.000189198169536474
Trailing edge,55,0,40.6250019043007,0.000230905921106324
Trailing edge,55,0,43.7500020507853,0.000221535855443146
Trailing edge,55,0,46.87500219727,0.000176115094560856
Trailing edge,55,0,50.0000023437547,0.000191364824061378
Trailing edge,55,0,53.1250024902393,0.000216673772846406
Trailing edge,55,0,56.250002636724,0.000222703923886758
Trailing edge,55,0,59.3750027832087,0.000201162140121866
Trailing edge,55,0,62.5000029296934,0.000218258588210151
Trailing edge,55,0,65.625003076178,0.000233392481234027
Trailing edge,55,0,68.7500032226627,0.00020934286193469
Trailing edge,55,0,71.8750033691474,0.000222631410484553
Trailing edge,55,0,75.000003515632,0.000231116075501592
Trailing edge,55,0,78.1250036621167,0.000220396454643851
Trailing edge,55,0,81.2500038086013,0.000215846766008313
Trailing edge,55,0,84.375003955086,0.000221321812705671
Trailing edge,55,0,87.5000041015707,0.000240762168588087
Trailing edge,55,0,90.6250042480554,0.000250892531384032
Trailing edge,55,0,93.75000439454,0.00019424897607758
Trailing edge,55,0,96.8750045410247,0.000249672589930166
Trailing edge,55,0,100.000004687509,0.000246418943201577
Trailing edge,55,0,103.125004833994,0.000211546473481183
Trailing edge,55,0,106.250004980479,0.000241276466367504
Trailing edge,55,0,109.375005126963,0.000213615577481035
Trailing edge,55,0,112.500005273448,0.000245717410922172
Trailing edge,55,0,115.625005419933,0.000239012182977675
Trailing edge,55,0,118.750005566417,0.000261716204747801
Trailing edge,55,0,121.875005712902,0.000259023502108236
Trailing edge,55,0,125.000005859387,0.000223169209272306
Trailing edge,55,0,128.125006005871,0.000175012970314854
Trailing edge,55,0,131.250006152356,0.000198866666914114
Trailing edge,55,0,134.375006298841,0.000215797267416547
Trailing edge,55,0,137.500006445325,0.000246747501787084
Trailing edge,55,0,140.62500659181,0.000237661184292541
Trailing edge,55,0,143.750006738295,0.00021222620556649
Trailing edge,55,0,146.875006884779,0.000212072030043587
Trailing edge,55,0,150.000007031264,0.000203243563005088
Trailing edge,55,0,153.125007177749,0.000163492713363984
Trailing edge,55,0,156.250007324233,0.000191931902639404
Trailing edge,55,0,159.375007470718,0.0002103027680488
Trailing edge,55,0,162.500007617203,0.000212195449461782
Trailing edge,55,0,165.625007763687,0.00026005703607533
Trailing edge,55,0,168.750007910172,0.000306754302325748
Trailing edge,55,0,171.875008056657,0.000278871985362399
Trailing edge,55,0,175.000008203141,0.000298081146237234
Trailing edge,55,0,178.125008349626,0.000279669161528941
Trailing edge,55,0,181.250008496111,0.000278029744249602
Trailing edge,55,0,184.375008642595,0.000294559778874115
Trailing edge,55,0,187.50000878908,0.000276987731465947
Trailing edge,55,0,190.625008935565,0.000211607381424783
Trailing edge,55,0,193.750009082049,0.000254450712411448
Trailing edge,55,0,196.875009228534,0.000307479872261787
Trailing edge,55,0,200.000009375019,0.000247810179413348
Trailing edge,55,0,203.125009521503,0.000259547139266058
Trailing edge,55,0,206.250009667988,0.000268190341392364
Trailing edge,55,0,209.375009814473,0.000315867620086019
Trailing edge,55,0,212.500009960957,0.000296394699860099
Trailing edge,55,0,215.625010107442,0.000322176046349826
Trailing edge,55,0,218.750010253927,0.000248618140256635
Trailing edge,55,0,221.875010400411,0.000226848576450107
Trailing edge,55,0,225.000010546896,0.000219107383896237
Trailing edge,55,0,228.125010693381,0.000230598251196897
Trailing edge,55,0,231.250010839865,0.000222258585788798
Trailing edge,55,0,234.37501098635,0.000236989845515099
Trailing edge,55,0,237.500011132835,0.000267488222597649
Trailing edge,55,0,240.625011279319,0.000299989480709767
Trailing edge,55,0,243.750011425804,0.0002144242374895
Trailing edge,55,0,246.875011572289,0.000207923920980197
Trailing edge,55,0,250.000011718773,0.000218519862291771
Trailing edge,55,0,253.125011865258,0.000219236628583729
Trailing edge,55,0,256.250012011743,0.000195791334242379
Trailing edge,55,0,259.375012158227,0.000198911610221213
Trailing edge,55,0,262.500012304712,0.000235455235926128
Trailing edge,55,0,265.625012451197,0.000208595752695489
Trailing edge,55,0,268.750012597681,0.000209705589268765
Trailing edge,55,0,271.875012744166,0.000215075380902853
Trailing edge,55,0,275.000012890651,0.000217798821219647
Trailing edge,55,0,278.125013037135,0.000193246257098531
Trailing edge,55,0,281.25001318362,0.000198616540402423
Trailing edge,55,0,284.375013330105,0.000170432138354967
Trailing edge,55,0,287.500013476589,0.000194750791323955
Trailing edge,55,0,290.625013623074,0.000184992368433036
Trailing edge,55,0,293.750013769559,0.000162925919055453
Trailing edge,55,0,296.875013916043,0.00022751133290081
Trailing edge,55,0,300.000014062528,0.000257712041449719
Trailing edge,55,0,303.125014209013,0.000244694249132947
Trailing edge,55,0,306.250014355497,0.00028458094128346
Trailing edge,55,0,309.375014501982,0.000247564013883167
Trailing edge,55,0,312.500014648467,0.000260276124949909
Trailing edge,55,0,315.625014794951,0.000290994714426263
Trailing edge,55,0,318.750014941436,0.00029407779311124
Trailing edge,55,0,321.875015087921,0.000270831390440407
Trailing edge,55,0,325.000015234405,0.000215167837911105
Trailing edge,55,0,328.12501538089,0.000233304163682393
Trailing edge,55,0,331.250015527375,0.000177864832460898
Trailing edge,55,0,334.375015673859,0.000176421105601714
Trailing edge,55,0,337.500015820344,0.000238370068045631
Trailing edge,55,0,340.625015966829,0.000268827596846675
Trailing edge,55,0,343.750016113313,0.000275917705135272
Trailing edge,55,0,346.875016259798,0.000204581479349931
Trailing edge,55,0,350.000016406283,0.000260754696936896
Trailing edge,55,0,353.125016552767,0.000303436679836715
Trailing edge,55,0,356.250016699252,0.000247613479305349
Trailing edge,55,0,359.375016845737,0.000294405985753543
Trailing edge,55,0,362.500016992221,0.000257574425600933
Trailing edge,55,0,365.625017138706,0.000231988841175926
Trailing edge,55,0,368.750017285191,0.00021007846563138
Trailing edge,55,0,371.875017431675,0.000237750657355149
Trailing edge,55,0,375.00001757816,0.000268556051482571
Trailing edge,55,0,378.125017724645,0.000337838195667636
Trailing edge,55,0,381.250017871129,0.000326390401109857
Trailing edge,55,0,384.375018017614,0.000396870792948141
Trailing edge,55,0,387.500018164099,0.000404610324400464
Trailing edge,55,0,390.625018310583,0.000381063659945176
Trailing edge,55,0,393.750018457068,0.000432279735830719
Trailing edge,55,0,396.875018603553,0.000378380972623487
Trailing edge,55,0,400.000018750037,0.000375690017858615
Trailing edge,55,0,403.125018896522,0.000405231135438575
Trailing edge,55,0,406.250019043007,0.000405811133225745
Trailing edge,55,0,409.375019189491,0.000453175906936447
Trailing edge,55,0,412.500019335976,0.00120440752082233
Trailing edge,55,0,415.625019482461,0.117568891902305
Trailing edge,55,0,418.750019628945,0.285272385149713
Trailing edge,55,0,421.87501977543,0.0435542018857558
Trailing edge,55,0,425.000019921915,0.000789984795044174
Trailing edge,55,0,428.125020068399,0.000502702974170216
Trailing edge,55,0,431.250020214884,0.000361555338076116
Trailing edge,55,0,434.375020361369,0.000287420188055834
Trailing edge,55,0,437.500020507853,0.000209510536765886
Trailing edge,55,0,440.625020654338,0.000230085310904817
Trailing edge,55,0,443.750020800823,0.000248471438410939
Trailing edge,55,0,446.875020947307,0.000289527224795858
Trailing edge,55,0,450.000021093792,0.000206017986608505
Trailing edge,55,0,453.125021240277,0.000195985210481212
Trailing edge,55,0,456.250021386761,0.000183382527803423
Trailing edge,55,0,459.375021533246,0.000210203544307522
Trailing edge,55,0,462.500021679731,0.000165857671635085
Trailing edge,55,0,465.625021826215,0.000142433247867734
Trailing edge,55,0,468.7500219727,0.000143642770009146
Trailing edge,55,0,471.875022119185,0.000124521699184649
Trailing edge,55,0,475.000022265669,0.000141546983760656
Trailing edge,55,0,478.125022412154,0.00017242861525608
Trailing edge,55,0,481.250022558639,0.000158441294472663
Trailing edge,55,0,484.375022705123,0.000146067321227649
Trailing edge,55,0,487.500022851608,0.00014664502135669
Trailing edge,55,0,490.625022998093,0.000180629283640956
Trailing edge,55,0,493.750023144577,0.000205958463002944
Trailing edge,55,0,496.875023291062,0.000206500096614834
Trailing edge,55,0,500.000023437547,0.000166831779696332
Trailing edge,55,0,503.125023584031,0.000155595823124305
Trailing edge,55,0,506.250023730516,0.000170497108717592
Trailing edge,55,0,509.375023877001,0.000200858508101089
Trailing edge,55,0,512.500024023485,0.000212577149971832
Trailing edge,55,0,515.62502416997,0.000227725299708203
Trailing edge,55,0,518.750024316455,0.000290085336698866
Trailing edge,55,0,521.875024462939,0.000242804347670011
Trailing edge,55,0,525.000024609424,0.000242244960294582
Trailing edge,55,0,528.125024755909,0.000365179333396032
Trailing edge,55,0,531.250024902393,0.00033962296270091
Trailing edge,55,0,534.375025048878,0.000200164486607755
Trailing edge,55,0,537.500025195363,0.00024737284051309
Trailing edge,55,0,540.625025341848,0.000210321911421392
Trailing edge,55,0,543.750025488332,0.000194908481827782
Trailing edge,55,0,546.875025634817,0.000199348250462378
Trailing edge,55,0,550.000025781301,0.00016191118942851
Trailing edge,55,0,553.125025927786,0.000184534453098817
Trailing edge,55,0,556.250026074271,0.000209827370464718
Trailing edge,55,0,559.375026220755,0.000172684622536659
Trailing edge,55,0,562.50002636724,0.000169305942340865
Trailing edge,55,0,565.625026513725,0.00019251244656782
Trailing edge,55,0,568.75002666021,0.000166433262492705
Trailing edge,55,0,571.875026806694,0.000170144220108632
Trailing edge,55,0,575.000026953179,0.000174634557483478
Trailing edge,55,0,578.125027099663,0.000183479632234939
Trailing edge,55,0,581.250027246148,0.000201246606258755
Trailing edge,55,0,584.375027392633,0.000191377612157172
Trailing edge,55,0,587.500027539117,0.000163992538622478
Trailing edge,55,0,590.625027685602,0.000143151330959165
Trailing edge,55,0,593.750027832087,0.000177222114440785
Trailing edge,55,0,596.875027978571,0.000171827804144899
Trailing edge,55,0,600.000028125056,0.000188526941769197
Trailing edge,55,0,603.125028271541,0.000178486436053458
Trailing edge,55,0,606.250028418026,0.00018809703564636
Trailing edge,55,0,609.37502856451,0.000150997126496172
Trailing edge,55,0,612.500028710995,0.000185230822205891
Trailing edge,55,0,615.625028857479,0.000189573198501385
Trailing edge,55,0,618.750029003964,0.000200953174568583
Trailing edge,55,0,621.875029150449,0.000177659903522807
Trailing edge,55,0,625.000029296933,0.000180806933814742
Trailing edge,55,0,628.125029443418,0.000225593173212263
Trailing edge,55,0,631.250029589903,0.000203117105883633
Trailing edge,55,0,634.375029736388,0.000140399507223266
Trailing edge,55,0,637.500029882872,0.000150227629601554
Trailing edge,55,0,640.625030029357,0.000155467366659802
Trailing edge,55,0,643.750030175842,0.000177595576726014
Trailing edge,55,0,646.875030322326,0.000186922173214342
Trailing edge,55,0,650.000030468811,0.00017619549229412
Trailing edge,55,0,653.125030615295,0.000169324204680658
Trailing edge,55,0,656.25003076178,0.000176976282071418
Trailing edge,55,0,659.375030908265,0.000188719519030596
Trailing edge,55,0,662.500031054749,0.000158519133317717
Trailing edge,55,0,665.625031201234,0.000167696715596944
Trailing edge,55,0,668.750031347719,0.000176880373530295
Trailing edge,55,0,671.875031494204,0.000191255531832832
Trailing edge,55,0,675.000031640688,0.000159571332452778
Trailing edge,55,0,678.125031787173,0.000144566708019679
Trailing edge,55,0,681.250031933658,0.000141496792375916
Trailing edge,55,0,684.375032080142,0.000156109554380643
Trailing edge,55,0,687.500032226627,0.000155534446603484
Trailing edge,55,0,690.625032373111,0.000156681302579753
Trailing edge,55,0,693.750032519596,0.000145143197509861
Trailing edge,55,0,696.875032666081,0.00016899013053109
Trailing edge,55,0,700.000032812566,0.000172329274758632
